epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,553.885,1.13064,2.43694,1.62357,0.54596,0.50728,0.47694,0.33993,1.15722,1.39306,1.78909,9.26112e-05,9.26112e-05,9.26112e-05
2,1075.85,1.03109,1.46658,1.49783,0.52878,0.60825,0.56353,0.42027,1.04996,1.21802,1.66845,0.000180692,0.000180692,0.000180692
3,1588.63,1.01113,1.34472,1.47867,0.51848,0.66076,0.60967,0.45755,1.00624,1.05824,1.60771,0.000264186,0.000264186,0.000264186
4,2099.42,0.98021,1.22891,1.4519,0.63545,0.67169,0.66982,0.50111,1.02943,1.00766,1.64657,0.000257359,0.000257359,0.000257359
5,2608.64,0.9525,1.15613,1.43148,0.65585,0.61758,0.65161,0.48429,1.0304,0.97614,1.6431,0.000250478,0.000250478,0.000250478
6,3117.08,0.92438,1.08456,1.40939,0.58413,0.73934,0.70598,0.54027,0.96065,0.90318,1.55688,0.000243597,0.000243597,0.000243597
7,3625,0.90196,1.0426,1.39218,0.68178,0.67413,0.72613,0.54217,1.01622,0.92314,1.63244,0.000236717,0.000236717,0.000236717
8,4134.29,0.87838,0.98508,1.37105,0.63614,0.71983,0.70425,0.53324,0.95173,0.86092,1.54256,0.000229836,0.000229836,0.000229836
9,4644.1,0.86329,0.9394,1.35904,0.61562,0.74261,0.70418,0.53811,0.95929,0.87642,1.53547,0.000222956,0.000222956,0.000222956
10,5155.44,0.85097,0.92638,1.35092,0.70853,0.69504,0.73714,0.57752,0.94152,0.83226,1.54664,0.000216075,0.000216075,0.000216075
11,5663.46,0.83256,0.88411,1.33587,0.7103,0.70994,0.73184,0.57273,0.91435,0.81026,1.51098,0.000209195,0.000209195,0.000209195
12,6170.46,0.82545,0.86633,1.33192,0.71599,0.73257,0.7467,0.58788,0.91591,0.80573,1.50267,0.000202314,0.000202314,0.000202314
13,6678.68,0.81728,0.83899,1.32618,0.67691,0.75636,0.75937,0.60109,0.8917,0.7776,1.48725,0.000195434,0.000195434,0.000195434
14,7188.1,0.80181,0.8175,1.31491,0.59964,0.80167,0.77065,0.60171,0.90031,0.76948,1.49566,0.000188554,0.000188554,0.000188554
15,7695.9,0.79492,0.80188,1.30964,0.65106,0.7567,0.75554,0.59248,0.89133,0.77637,1.49601,0.000181673,0.000181673,0.000181673
16,8203.9,0.78732,0.78496,1.29971,0.69838,0.76276,0.77363,0.60501,0.89219,0.74201,1.48648,0.000174792,0.000174792,0.000174792
17,8711.26,0.77664,0.7683,1.29499,0.71823,0.72779,0.75963,0.60092,0.87305,0.73938,1.46184,0.000167912,0.000167912,0.000167912
18,9220.2,0.77255,0.75483,1.28933,0.68012,0.75463,0.76431,0.59968,0.88945,0.74304,1.48463,0.000161031,0.000161031,0.000161031
19,9730.34,0.75872,0.72942,1.28256,0.7222,0.73136,0.77389,0.60885,0.88235,0.74061,1.47795,0.000154151,0.000154151,0.000154151
20,10240.7,0.7521,0.7273,1.27256,0.65859,0.78791,0.78798,0.62423,0.87312,0.73821,1.46537,0.00014727,0.00014727,0.00014727
21,10751.8,0.74508,0.70942,1.26744,0.74764,0.70031,0.76994,0.61472,0.86061,0.73198,1.45025,0.00014039,0.00014039,0.00014039
22,11264,0.73954,0.69294,1.2666,0.72662,0.75857,0.77336,0.61879,0.8594,0.7219,1.45872,0.00013351,0.00013351,0.00013351
23,11776.8,0.72502,0.67794,1.25647,0.7241,0.75275,0.78158,0.62162,0.85347,0.73544,1.45184,0.000126629,0.000126629,0.000126629
24,12288.9,0.71554,0.66977,1.25099,0.7609,0.76098,0.78552,0.63043,0.85238,0.71084,1.44221,0.000119749,0.000119749,0.000119749
25,12801.1,0.71235,0.64992,1.24684,0.73196,0.74537,0.78354,0.62765,0.85238,0.72716,1.45353,0.000112868,0.000112868,0.000112868
26,13313.4,0.70586,0.64177,1.23994,0.78058,0.75595,0.79582,0.63273,0.8445,0.71146,1.45289,0.000105987,0.000105987,0.000105987
27,13823.9,0.70184,0.64106,1.236,0.72562,0.76484,0.7944,0.6378,0.84656,0.69867,1.44363,9.9107e-05,9.9107e-05,9.9107e-05
28,14335.1,0.69485,0.61598,1.23122,0.77754,0.72615,0.78802,0.62761,0.8442,0.70433,1.44054,9.22265e-05,9.22265e-05,9.22265e-05
29,14847.2,0.68653,0.61357,1.22664,0.69618,0.79043,0.78585,0.63212,0.84161,0.70281,1.43225,8.5346e-05,8.5346e-05,8.5346e-05
30,15359.8,0.68335,0.6041,1.22211,0.73001,0.78296,0.78681,0.62803,0.84367,0.70315,1.43647,7.84655e-05,7.84655e-05,7.84655e-05
31,15876.3,0.63635,0.46922,1.27435,0.74109,0.75515,0.78138,0.61991,0.83767,0.71548,1.43912,7.1585e-05,7.1585e-05,7.1585e-05
32,16390.6,0.62493,0.44789,1.26378,0.72144,0.77052,0.77739,0.61553,0.84662,0.72003,1.44525,6.47045e-05,6.47045e-05,6.47045e-05
33,16909.8,0.6106,0.43477,1.24734,0.72856,0.75096,0.77759,0.62492,0.83674,0.71722,1.43176,5.7824e-05,5.7824e-05,5.7824e-05
34,17429,0.59934,0.42166,1.24122,0.72624,0.7757,0.78634,0.6282,0.83874,0.70729,1.44572,5.09435e-05,5.09435e-05,5.09435e-05
35,17946.6,0.58781,0.41238,1.22963,0.73678,0.75715,0.77632,0.62371,0.83617,0.70703,1.44024,4.4063e-05,4.4063e-05,4.4063e-05
36,18464,0.5823,0.40553,1.22628,0.71727,0.77692,0.78106,0.62991,0.83692,0.69261,1.44152,3.71825e-05,3.71825e-05,3.71825e-05
37,18979.9,0.57556,0.39413,1.21495,0.77313,0.73844,0.78408,0.6298,0.84272,0.70979,1.45205,3.0302e-05,3.0302e-05,3.0302e-05
38,19494.5,0.56352,0.38044,1.20605,0.74382,0.75496,0.78107,0.63041,0.84169,0.69839,1.45201,2.34215e-05,2.34215e-05,2.34215e-05
39,20010.1,0.55838,0.37441,1.20019,0.75042,0.74184,0.78086,0.62606,0.84215,0.71093,1.44991,1.6541e-05,1.6541e-05,1.6541e-05
40,20526.1,0.55065,0.37244,1.19436,0.72405,0.76888,0.78211,0.6248,0.84532,0.71367,1.45761,9.6605e-06,9.6605e-06,9.6605e-06
