epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,311.817,0.9183,1.68628,1.27383,0.77582,0.6688,0.75405,0.54677,0.8069,0.72238,1.21499,9.25029e-05,9.25029e-05,9.25029e-05
2,611.952,0.85708,0.7872,1.20625,0.77443,0.81032,0.83195,0.60718,0.78586,0.64702,1.23115,0.000180587,0.000180587,0.000180587
3,908.362,0.84924,0.7079,1.20141,0.80233,0.83928,0.86666,0.63564,0.78946,0.60116,1.23124,0.000264083,0.000264083,0.000264083
4,1203.1,0.8313,0.66216,1.19973,0.81333,0.84095,0.8709,0.63438,0.78554,0.56223,1.23246,0.000257359,0.000257359,0.000257359
5,1497.96,0.82001,0.60905,1.18954,0.87227,0.88863,0.91939,0.67235,0.75103,0.4923,1.20316,0.000250478,0.000250478,0.000250478
6,1793.17,0.81368,0.59436,1.17593,0.85169,0.87802,0.90289,0.66309,0.74888,0.48457,1.19658,0.000243597,0.000243597,0.000243597
7,2088.32,0.7931,0.57317,1.16872,0.88706,0.89207,0.91796,0.6938,0.74518,0.47139,1.19512,0.000236717,0.000236717,0.000236717
8,2383.6,0.78586,0.54762,1.16398,0.87634,0.89825,0.92233,0.69173,0.73771,0.45461,1.19131,0.000229836,0.000229836,0.000229836
9,2679.32,0.77764,0.52343,1.15685,0.8827,0.90137,0.92391,0.70199,0.71626,0.43662,1.16249,0.000222956,0.000222956,0.000222956
10,2974.64,0.77182,0.52182,1.14753,0.89489,0.88505,0.92133,0.69486,0.71569,0.43759,1.16846,0.000216075,0.000216075,0.000216075
11,3269.55,0.77005,0.50732,1.15532,0.87926,0.91687,0.93549,0.70383,0.71462,0.42741,1.17491,0.000209195,0.000209195,0.000209195
12,3564.67,0.75621,0.49394,1.14444,0.89241,0.8959,0.92777,0.71271,0.69206,0.42917,1.15334,0.000202314,0.000202314,0.000202314
13,3859.86,0.74445,0.47935,1.14253,0.91315,0.90074,0.93385,0.71954,0.70242,0.4174,1.16379,0.000195434,0.000195434,0.000195434
14,4155.37,0.73816,0.47361,1.13773,0.89847,0.92157,0.9372,0.71662,0.69077,0.41031,1.15958,0.000188554,0.000188554,0.000188554
15,4450.67,0.73792,0.47048,1.13491,0.90569,0.92048,0.93659,0.72303,0.69113,0.40419,1.15164,0.000181673,0.000181673,0.000181673
16,4746.12,0.72994,0.46021,1.13035,0.91701,0.91582,0.94328,0.72929,0.67863,0.38578,1.144,0.000174792,0.000174792,0.000174792
17,5041.58,0.71892,0.45214,1.11792,0.89738,0.91539,0.93877,0.73121,0.68165,0.39655,1.13924,0.000167912,0.000167912,0.000167912
18,5336.75,0.71459,0.44041,1.11175,0.92217,0.90318,0.94262,0.7399,0.67211,0.38998,1.11624,0.000161031,0.000161031,0.000161031
19,5632.08,0.71351,0.44107,1.11331,0.93285,0.91859,0.94829,0.73671,0.66802,0.37639,1.11868,0.000154151,0.000154151,0.000154151
20,5927.38,0.70587,0.42957,1.10819,0.91198,0.94198,0.95621,0.74724,0.66308,0.36773,1.12749,0.00014727,0.00014727,0.00014727
21,6222.51,0.70235,0.42351,1.11028,0.90353,0.90964,0.93874,0.73343,0.66822,0.39534,1.13853,0.00014039,0.00014039,0.00014039
22,6517.57,0.70178,0.4202,1.11164,0.90716,0.94409,0.95008,0.74641,0.66286,0.3714,1.12232,0.00013351,0.00013351,0.00013351
23,6812.74,0.6898,0.41006,1.0935,0.92127,0.92478,0.94783,0.74408,0.65937,0.36254,1.12107,0.000126629,0.000126629,0.000126629
24,7107.8,0.68642,0.40462,1.09785,0.91992,0.93573,0.95611,0.75127,0.66192,0.36273,1.12622,0.000119749,0.000119749,0.000119749
25,7403.19,0.68094,0.39992,1.09226,0.93612,0.92206,0.95388,0.75571,0.65395,0.36228,1.11567,0.000112868,0.000112868,0.000112868
26,7698.61,0.67724,0.39726,1.09405,0.92138,0.91858,0.95181,0.75381,0.65414,0.35939,1.13049,0.000105987,0.000105987,0.000105987
27,7993.94,0.67156,0.39179,1.09135,0.91322,0.94175,0.9569,0.75244,0.64849,0.35312,1.11754,9.9107e-05,9.9107e-05,9.9107e-05
28,8289.27,0.67478,0.3908,1.09544,0.92254,0.94281,0.95836,0.75775,0.65065,0.35299,1.12486,9.22265e-05,9.22265e-05,9.22265e-05
29,8584.61,0.66561,0.38354,1.0872,0.92453,0.93117,0.95906,0.76267,0.64487,0.34936,1.11704,8.5346e-05,8.5346e-05,8.5346e-05
30,8880.13,0.65802,0.37768,1.08256,0.91862,0.93271,0.9568,0.75955,0.64269,0.3516,1.10978,7.84655e-05,7.84655e-05,7.84655e-05
31,9176.56,0.60071,0.30962,1.06859,0.93113,0.93433,0.95996,0.76208,0.6433,0.34653,1.1096,7.1585e-05,7.1585e-05,7.1585e-05
32,9470.99,0.5939,0.29906,1.05749,0.93076,0.93374,0.96068,0.76478,0.64344,0.34345,1.11199,6.47045e-05,6.47045e-05,6.47045e-05
33,9765.7,0.58691,0.29688,1.05697,0.92829,0.94129,0.96003,0.76364,0.63935,0.34584,1.10847,5.7824e-05,5.7824e-05,5.7824e-05
34,10060.7,0.58159,0.28981,1.05374,0.92046,0.94595,0.96174,0.76958,0.6367,0.33941,1.11641,5.09435e-05,5.09435e-05,5.09435e-05
35,10355.4,0.57468,0.28253,1.04944,0.91436,0.94089,0.95841,0.76753,0.634,0.34246,1.11187,4.4063e-05,4.4063e-05,4.4063e-05
36,10650,0.56745,0.27827,1.04578,0.91273,0.9386,0.95772,0.7657,0.6294,0.34323,1.11337,3.71825e-05,3.71825e-05,3.71825e-05
37,10944.6,0.56375,0.27399,1.04184,0.92391,0.94098,0.95997,0.77157,0.6301,0.33888,1.11531,3.0302e-05,3.0302e-05,3.0302e-05
38,11239,0.55971,0.27182,1.04078,0.9348,0.93184,0.96073,0.7714,0.6316,0.339,1.11948,2.34215e-05,2.34215e-05,2.34215e-05
39,11533.5,0.55394,0.26736,1.0367,0.93478,0.93199,0.96305,0.77356,0.63055,0.33694,1.11839,1.6541e-05,1.6541e-05,1.6541e-05
40,11828,0.55383,0.265,1.03497,0.92121,0.9398,0.96182,0.7729,0.62976,0.33445,1.11827,9.6605e-06,9.6605e-06,9.6605e-06
